nama,f,m
abdurrahiim,0.0,1.0
abdurrahim,2.0,38.0
abdurrahmaan,0.0,2.0
abdurrahmad,0.0,1.0
abdurrahman,6.0,515.0
abdurrais,0.0,1.0
abdurrajak,0.0,1.0
abdurrakhman,0.0,1.0
abdurraman,0.0,1.0
abdurrasid,0.0,2.0
abdurrasied,0.0,1.0
abdurrasyid,0.0,20.0
abdurrasyiid,0.0,2.0
abdurratik,0.0,1.0
abdurrauf,0.0,2.0
abdurrauuf,0.0,1.0
abdurrazak,0.0,2.0
abdurrazaq,0.0,4.0
abdurrazzak,0.0,1.0
abdurrazzaq,0.0,6.0
abdurrifqi,0.0,1.0
abdurrobbi,0.0,1.0
abdurrochim,0.0,1.0
abdurrochman,0.0,2.0
abdurrofiq,0.0,1.0
abdurrohiim,0.0,2.0
abdurrohim,0.0,23.0
abdurrohman,0.0,38.0
abdurrokhman,0.0,1.0
abdurroofi,0.0,1.0
abdurrosi,0.0,1.0
abdurrosid,0.0,1.0
abdurrosyid,0.0,7.0
abdurrouf,0.0,2.0
abdurrozak,0.0,1.0
abdurrozaq,0.0,5.0
abdurrozzaq,0.0,3.0
abdus,1.0,50.0
abdush,0.0,1.0
abdushufi,0.0,1.0
abdussahid,0.0,3.0
abdussalam,0.0,25.0
abdussalim,0.0,1.0
abdussamad,0.0,10.0
abdussamah,0.0,1.0
abdussapa,0.0,1.0
abdussattar,0.0,2.0
abdusshamad,0.0,1.0
abdusshobir,0.0,1.0
abdusshomad,0.0,1.0
abdussomad,0.0,1.0
abdussyahid,0.0,1.0
abdussyakur,0.0,1.0
abdussyukur,0.0,1.0
abdusy,0.0,2.0
abdusysyahid,0.0,1.0
abduzainina,1.0,0.0
abduzzainuri,0.0,1.0
abdwahab,0.0,5.0
abdwahid,0.0,1.0
abdy,0.0,19.0
abdyanta,0.0,1.0
abdylan,0.0,1.0
abe,5.0,2.0
abed,1.0,5.0
abedan,0.0,1.0
abednego,1.0,10.0
abee,0.0,1.0
abeel,0.0,1.0
abeera,1.0,0.0
abeezar,0.0,1.0
abegail,1.0,0.0
abeh,2.0,2.0
abek,0.0,1.0
abel,16.0,37.0
abela,3.0,0.0
abelardo,0.0,1.0
abelia,28.0,0.0
abeliaadha,1.0,0.0
abelian,0.0,2.0
abeliana,2.0,0.0
abeliani,1.0,0.0
abelina,1.0,0.0
abelita,1.0,0.0
abelix,0.0,1.0
abelizhawati,1.0,0.0
abell,1.0,1.0
abella,13.0,0.0
abellardo,0.0,2.0
abellia,8.0,0.0
abellina,1.0,0.0
abellito,0.0,1.0
abellya,1.0,0.0
abeltina,1.0,0.0
abeluma,1.0,0.0
abelza,0.0,2.0
abemi,0.0,1.0
aben,0.0,2.0
abeneil,0.0,1.0
abeng,4.0,8.0
abensa,0.0,1.0
aber,0.0,1.0
abercio,0.0,7.0
aberi,2.0,0.0
abes,0.0,2.0
abet,0.0,8.0
abeth,3.0,3.0
abetnehu,0.0,1.0
abeto,0.0,1.0
abgansyah,0.0,1.0
abgari,0.0,3.0
abgary,0.0,6.0
abgori,0.0,1.0
abhan,0.0,2.0
abhar,0.0,2.0
abhel,1.0,0.0
abher,0.0,1.0
abhi,1.0,6.0
abhian,0.0,1.0
abhiazt,0.0,1.0
abhicandra,0.0,5.0
abhid,0.0,1.0
abhidah,1.0,0.0
abhidzar,0.0,1.0
abhie,0.0,3.0
abhiemanyu,0.0,1.0
abhier,1.0,0.0
abhieyana,0.0,1.0
abhighan,0.0,1.0
abhijar,0.0,1.0
abhil,0.0,3.0
abhilal,0.0,1.0
abhilowo,0.0,1.0
abhimanggala,0.0,1.0
abhimanyu,0.0,5.0
abhimata,0.0,3.0
abhinaiya,0.0,1.0
abhinandan,0.0,1.0
abhinara,0.0,3.0
abhinawa,0.0,2.0
abhinaya,2.0,18.0
abhinayya,0.0,1.0
abhinu,0.0,1.0
abhipraya,0.0,4.0
abhiraam,0.0,1.0
abhiraja,0.0,2.0
abhirama,0.0,8.0
abhirel,1.0,0.0
abhirocano,0.0,1.0
abhiru,0.0,1.0
abhisameta,1.0,0.0
abhisameti,1.0,0.0
abhiseka,0.0,1.0
abhiseva,0.0,2.0
abhista,2.0,5.0
abhitia,0.0,1.0
abhivandya,0.0,3.0
abhiyantara,0.0,1.0
abhiyas,0.0,1.0
abhiyasa,0.0,1.0
abhizar,0.0,19.0
abhizard,0.0,1.0
abhizarqi,0.0,1.0
abhy,0.0,5.0
abhyzar,0.0,2.0
abi,30.0,267.0
abia,6.0,4.0
abian,0.0,21.0
abiana,2.0,0.0
abiandana,1.0,0.0
abiandra,0.0,2.0
abiandri,0.0,1.0
abiani,0.0,1.0
abianita,1.0,0.0
abianka,0.0,1.0
abiansury,0.0,1.0
abiansyah,0.0,11.0
abianus,0.0,1.0
abiarasha,0.0,1.0
abiazar,0.0,1.0
abib,0.0,8.0
abiba,2.0,0.0
abibah,5.0,0.0
abibakar,2.0,1.0
abibas,1.0,1.0
abibaswan,0.0,1.0
abibulloh,0.0,1.0
abiburrohman,0.0,1.0
abicandra,0.0,1.0
abid,2.0,319.0
abida,23.0,4.0
abidah,146.0,2.0
abidal,0.0,5.0
abidama,0.0,1.0
abidan,1.0,3.0
abidarda,0.0,2.0
abidatillah,1.0,0.0
abidatul,3.0,0.0
abidatunnada,1.0,0.0
abidatur,1.0,0.0
abidaturrahmana,1.0,0.0
abiddah,1.0,0.0
abiddin,0.0,2.0
abide,1.0,0.0
abidel,0.0,1.0
abidhah,1.0,0.0
abidharta,0.0,3.0
abidhin,0.0,2.0
abidi,0.0,1.0
abidiansyah,0.0,1.0
abidien,0.0,1.0
abidil,0.0,1.0
abidilah,0.0,1.0
abidillah,0.0,3.0
abidin,41.0,793.0
abidinm,0.0,1.0
abidinnur,0.0,3.0
abidinor,0.0,1.0
abidinsyah,0.0,26.0
abidjar,0.0,1.0
abidsar,0.0,1.0
abidsistyansyah,0.0,1.0
abidu,0.0,1.0
abidullah,0.0,1.0
abidun,0.0,1.0
abiduna,1.0,0.0
abidur,0.0,1.0
abidurrahim,0.0,1.0
abidurroyhan,0.0,1.0
abidya,0.0,1.0
abidzar,0.0,334.0
abidzargibran,0.0,1.0
abidzhar,0.0,9.0
abidzraf,0.0,1.0
abie,0.0,19.0
abied,0.0,1.0
abiedduraska,0.0,1.0
abiedel,0.0,1.0
abiel,0.0,14.0
abiela,0.0,1.0
abielianus,0.0,1.0
abiem,0.0,1.0
abiet,1.0,2.0
abieth,1.0,0.0
abieza,0.0,3.0
abiezar,0.0,4.0
abiezard,0.0,2.0
abiezzar,0.0,1.0
abigael,18.0,5.0
abigail,57.0,10.0
abigaille,1.0,0.0
abigaiol,0.0,1.0
abigeil,1.0,0.0
abighael,1.0,1.0
abighail,0.0,1.0
abighany,0.0,1.0
abigun,0.0,1.0
abihail,1.0,0.0
abihan,0.0,2.0
abihi,0.0,1.0
abihlasa,1.0,0.0
abijahri,0.0,1.0
abijal,1.0,0.0
abijar,0.0,6.0
abika,1.0,2.0
abikda,0.0,1.0
abil,2.0,107.0
abila,12.0,0.0
abilak,1.0,0.0
abilal,0.0,4.0
abilard,0.0,1.0
abilda,1.0,0.0
abilga,0.0,1.0
abilhaq,0.0,2.0
abilia,2.0,0.0
abilio,0.0,1.0
abill,0.0,1.0
abilla,1.0,0.0
abillah,0.0,2.0
abilowo,0.0,1.0
abiludin,0.0,1.0
abilul,0.0,1.0
abim,0.0,7.0
abima,0.0,5.0
abimael,0.0,3.0
abiman,0.0,2.0
abimana,0.0,24.0
abimandana,0.0,1.0
abimanto,0.0,1.0
abimanyu,1.0,146.0
abimata,0.0,2.0
abimayu,0.0,18.0
abimmanyu,0.0,1.0
abin,1.0,4.0
abina,2.0,2.0
abinara,0.0,2.0
abinawa,0.0,2.0
abinaya,8.0,35.0
abindales,0.0,1.0
abing,0.0,1.0
abinoah,0.0,1.0
abinordin,0.0,1.0
abinowo,0.0,1.0
abinur,1.0,0.0
abinyyu,0.0,1.0
abio,0.0,1.0
abioso,0.0,1.0
abipraya,0.0,2.0
abiputra,0.0,11.0
abiqail,1.0,0.0
abir,2.0,2.0
abira,2.0,3.0
abirackshaan,0.0,1.0
abiradjata,0.0,1.0
abirama,0.0,1.0
abirawa,0.0,1.0
abirossi,0.0,1.0
abirpratama,0.0,1.0
abiru,1.0,0.0
abiruliansyah,0.0,1.0
abisal,0.0,1.0
abisali,0.0,5.0
abisaly,0.0,1.0
abisard,0.0,1.0
abisatya,0.0,7.0
abiseka,0.0,2.0
abisena,0.0,1.0
abisha,8.0,3.0
abishai,0.0,1.0
abisila,0.0,1.0
abislom,1.0,2.0
abislon,1.0,2.0
abisyam,0.0,1.0
abisyar,0.0,2.0
abit,0.0,11.0
abita,1.0,2.0
abitalip,0.0,1.0
abitama,0.0,1.0
abitha,1.0,1.0
abitillah,1.0,0.0
abitshar,0.0,1.0
abiturdin,0.0,1.0
abivandya,0.0,1.0
abiw,0.0,1.0
abiwahyu,0.0,1.0
abiy,0.0,9.0
abiya,1.0,6.0
abiyadi,0.0,1.0
abiyah,2.0,0.0
abiyahya,0.0,2.0
abiyajid,0.0,2.0
abiyaksa,0.0,1.0
abiyaksha,0.0,1.0
abiyan,0.0,16.0
abiyana,0.0,2.0
abiyanda,0.0,1.0
abiyangsah,0.0,1.0
abiyansyah,0.0,1.0
abiyanti,1.0,0.0
abiyanto,0.0,2.0
abiyanur,0.0,1.0
abiyaqsa,0.0,1.0
abiyarra,0.0,1.0
abiyasa,0.0,8.0
abiyasha,0.0,3.0
abiyatul,0.0,1.0
abiyazid,0.0,3.0
abiyazit,0.0,1.0
abiyoga,0.0,5.0
abiyu,3.0,50.0
abiyun,1.0,0.0
abiyurrasyad,0.0,1.0
abiyy,0.0,1.0
abiyya,2.0,2.0
abiyyah,6.0,0.0
abiyyan,0.0,1.0
abiyyant,0.0,1.0
abiyyi,1.0,8.0
abiyyu,1.0,119.0
abiyyuazizi,0.0,1.0
abiyyur,0.0,1.0
abiyyurizky,0.0,1.0
abiyyusa,0.0,1.0
abiyyustia,0.0,1.0
abiyyuzaim,0.0,1.0
abizadr,0.0,1.0
abizah,1.0,0.0
abizam,0.0,1.0
abizar,0.0,354.0
abizard,0.0,68.0
abizardi,0.0,1.0
abizari,0.0,1.0
abizart,0.0,1.0
abizayd,0.0,1.0
abizhar,0.0,35.0
abizzar,0.0,3.0
abjan,0.0,1.0
abjar,0.0,2.0
abkar,0.0,1.0
abkari,0.0,2.0
abkary,0.0,1.0
abkas,0.0,2.0
abkida,1.0,1.0
abko,0.0,1.0
abl,0.0,1.0
ablia,1.0,0.0
ablina,1.0,0.0
abna,2.0,3.0
abnan,1.0,1.0
abner,0.0,27.0
abni,0.0,1.0
abniaty,1.0,0.0
abnizam,0.0,1.0
abnu,0.0,1.0
abnur,0.0,2.0
abo,3.0,2.0
aboe,0.0,4.0
aboel,0.0,1.0
aboen,0.0,1.0
aboeseno,0.0,1.0
abol,0.0,1.0
abon,10.0,2.0
abong,7.0,1.0
aboq,1.0,0.0
abor,0.0,1.0
aboy,0.0,1.0
abpianur,0.0,1.0
abpriyanto,0.0,1.0
abqar,0.0,2.0
abqari,0.0,106.0
abqaria,1.0,0.0
abqariah,13.0,0.0
abqariyah,2.0,0.0
abqariyyah,1.0,0.0
abqarizayn,0.0,1.0
abqarriezqy,0.0,1.0
abqary,0.0,125.0
abqhari,0.0,1.0
abqori,1.0,53.0
abqoriah,6.0,0.0
abqoriy,0.0,1.0
abqoriyah,1.0,0.0
abqoriyyah,2.0,0.0
abqory,0.0,63.0
abqura,4.0,0.0
abr,1.0,0.0
abraar,0.0,1.0
abraham,6.0,146.0
abrahams,1.0,1.0
abrahan,0.0,1.0
abrahim,0.0,2.0
abrahm,0.0,1.0
abrali,0.0,1.0
abram,2.0,18.0
